p1_height,p2_height,p1_growth_days,p2_growth_days,p1_leaf_shape,p2_leaf_shape,p1_flower_color,p2_flower_color,p1_climate,p2_climate,p1_resistance,p2_resistance,p1_yield,p2_yield,same_family,target_height,target_growth_days,target_leaf_shape,target_flower_color,target_climate,target_resistance,target_yield_level
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,39.8,94.4,Ovate,Purple,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,37.6,87.5,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,41.7,83.6,Ovate,Purple,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,41.2,83.7,Ovate,Purple,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,41.5,87.9,Ovate,White,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,40.3,88.5,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,42.4,85.3,Ovate,Purple,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,37.4,91.7,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,41.0,85.3,Ovate,Intermediate,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,39.1,83.9,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,37.5,93.0,Ovate,Purple,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,37.8,86.5,Ovate,White,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,41.3,89.7,Ovate,Purple,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,39.6,92.0,Ovate,Intermediate,Temperate,Very High,High
35,45,80,95,0,0,0,2,2,2,1,2,1,3,1,40.3,93.2,Ovate,Intermediate,Temperate,Very High,High
45,35,95,80,0,0,2,0,2,2,2,1,3,1,1,37.2,88.2,Ovate,Intermediate,Temperate,Very High,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,80.0,78.8,Intermediate,Intermediate,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,83.9,73.2,Ovate,Intermediate,Temperate,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,76.7,81.2,Ovate,Yellow,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,78.6,75.2,Intermediate,Intermediate,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,72.5,82.7,Intermediate,Intermediate,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,81.0,78.6,Pinnate,Intermediate,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,75.7,70.1,Intermediate,Intermediate,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,76.8,83.5,Pinnate,White,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,71.9,76.2,Ovate,White,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,74.7,74.5,Intermediate,Yellow,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,74.3,85.2,Ovate,White,Temperate,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,81.4,72.5,Ovate,Yellow,Temperate,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,82.6,77.6,Intermediate,Intermediate,Temperate,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,76.0,82.4,Intermediate,White,Tropical/Subtropical,Moderate,High
35,120,80,75,0,7,0,1,2,8,1,1,1,3,1,72.3,82.2,Intermediate,Yellow,Tropical/Subtropical,Moderate,High
120,35,75,80,7,0,1,0,8,2,1,1,3,1,1,77.7,79.0,Intermediate,White,Tropical/Subtropical,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,60.8,76.1,Ovate,Purple,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,61.3,74.8,Ovate,Intermediate,Temperate,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,63.3,87.9,Ovate,Intermediate,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,61.7,72.2,Ovate,White,Tropical/Subtropical,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,58.7,76.4,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,64.0,71.1,Ovate,Intermediate,Temperate,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,60.4,77.0,Ovate,White,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,64.5,73.0,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,65.6,74.7,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,59.4,80.2,Ovate,Intermediate,Tropical/Subtropical,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,59.1,70.8,Ovate,Purple,Temperate,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,64.9,77.0,Ovate,Intermediate,Temperate,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,64.5,69.6,Ovate,White,Tropical/Subtropical,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,61.1,72.4,Ovate,White,Temperate,Moderate,High
35,90,80,70,0,0,0,2,2,8,1,1,1,3,1,61.3,79.1,Ovate,Purple,Tropical/Subtropical,Moderate,High
90,35,70,80,0,0,2,0,8,2,1,1,3,1,1,60.1,79.0,Ovate,White,Temperate,Moderate,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,55.5,84.5,Lanceolate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,50.8,82.5,Intermediate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,63.1,82.6,Intermediate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,56.8,83.5,Lanceolate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,51.0,83.5,Intermediate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,59.8,80.4,Ovate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,54.4,83.7,Intermediate,White,Temperate,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,57.5,80.5,Ovate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,56.2,84.0,Lanceolate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,52.3,80.0,Lanceolate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,56.7,82.2,Intermediate,White,Temperate,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,56.7,79.1,Lanceolate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,54.3,88.6,Intermediate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,57.2,79.0,Lanceolate,White,Tropical/Subtropical,Very High,High
35,75,80,85,0,1,0,0,2,8,1,2,1,3,1,50.7,80.2,Ovate,White,Tropical/Subtropical,Very High,High
75,35,85,80,1,0,0,0,8,2,2,1,3,1,1,57.4,85.2,Lanceolate,White,Temperate,Very High,High
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,54.5,84.2,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,69.4,92.1,Ovate,White,Temperate,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,54.3,87.2,Ovate,White,Tropical,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,59.1,85.2,Ovate,White,Tropical,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,58.2,84.6,Ovate,White,Tropical,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,54.8,91.3,Ovate,White,Tropical,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,58.9,91.5,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,60.9,86.3,Ovate,White,Tropical,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,58.6,101.0,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,56.1,96.6,Ovate,White,Tropical,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,57.1,90.9,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,57.1,84.7,Ovate,White,Temperate,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,60.3,96.3,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,58.7,94.7,Ovate,White,Temperate,Very High,Moderate
35,80,80,100,0,0,0,0,2,0,1,2,1,1,1,60.9,94.2,Ovate,White,Temperate,Very High,Moderate
80,35,100,80,0,0,0,0,0,2,2,1,1,1,1,62.9,81.1,Ovate,White,Temperate,Very High,Moderate
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,140.7,80.9,Ovate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,138.5,90.3,Ovate,White,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,136.1,86.3,Intermediate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,140.9,83.8,Ovate,Yellow,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,137.0,80.5,Intermediate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,146.0,84.7,Linear,Intermediate,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,147.6,92.1,Linear,Yellow,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,145.5,78.3,Intermediate,White,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,149.5,84.4,Linear,Intermediate,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,132.6,82.7,Linear,White,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,144.0,87.9,Intermediate,Yellow,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,141.4,85.4,Linear,Intermediate,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,144.1,80.3,Ovate,White,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,141.4,90.5,Intermediate,Intermediate,Temperate,Moderate,High
35,250,80,90,0,3,0,1,2,2,1,1,1,4,0,142.8,87.8,Ovate,Yellow,Temperate,Moderate,High
250,35,90,80,3,0,1,0,2,2,1,1,4,1,0,140.2,87.0,Linear,Intermediate,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,117.9,71.1,Linear,White,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,115.8,77.4,Intermediate,Intermediate,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,107.9,76.8,Intermediate,White,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,117.8,81.2,Intermediate,White,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,115.4,81.7,Intermediate,Intermediate,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,122.0,69.1,Linear,White,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,119.2,73.4,Ovate,Intermediate,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,112.6,74.0,Ovate,White,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,125.9,76.5,Linear,White,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,116.6,74.8,Intermediate,Yellow,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,109.7,75.6,Intermediate,Intermediate,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,111.6,74.8,Intermediate,White,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,119.6,82.6,Linear,Yellow,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,114.9,82.9,Intermediate,White,Temperate,Moderate,High
35,200,80,75,0,3,0,1,2,2,1,1,1,3,0,112.5,80.4,Intermediate,Yellow,Temperate,Moderate,High
200,35,75,80,3,0,1,0,2,2,1,1,3,1,0,113.9,81.9,Ovate,White,Temperate,Moderate,High
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,118.3,95.3,Ovate,Intermediate,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,109.1,105.4,Pinnate,White,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,109.4,107.3,Pinnate,Intermediate,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,121.5,101.1,Intermediate,Intermediate,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,117.5,99.3,Intermediate,Pink,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,113.3,102.5,Intermediate,White,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,118.2,91.3,Ovate,White,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,116.2,98.6,Pinnate,Pink,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,127.1,97.1,Intermediate,Intermediate,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,121.8,103.9,Pinnate,Pink,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,123.6,101.6,Intermediate,White,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,117.0,104.8,Pinnate,Intermediate,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,119.6,95.6,Pinnate,Pink,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,117.5,103.3,Intermediate,Intermediate,Temperate,Moderate,Moderate
35,200,80,120,0,7,0,3,2,2,1,1,1,1,0,118.5,95.0,Intermediate,White,Temperate,Moderate,Moderate
200,35,120,80,7,0,3,0,2,2,1,1,1,1,0,122.9,98.2,Intermediate,Intermediate,Temperate,Moderate,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,151.2,124.2,Pinnate,Intermediate,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,176.5,109.9,Ovate,Pink,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,163.6,122.1,Intermediate,White,Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,172.1,113.1,Ovate,Intermediate,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,172.6,120.7,Ovate,Pink,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,175.0,118.3,Pinnate,Pink,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,179.0,115.5,Intermediate,Intermediate,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,166.6,116.1,Ovate,Pink,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,158.4,109.2,Intermediate,Intermediate,Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,153.2,112.4,Ovate,Intermediate,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,162.9,100.5,Intermediate,Pink,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,160.3,113.2,Intermediate,Intermediate,Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,161.4,118.0,Ovate,White,Cool Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,161.7,115.6,Intermediate,Intermediate,Cool Temperate,Very High,Moderate
35,300,80,150,0,7,0,3,2,6,1,2,1,1,0,181.3,118.6,Intermediate,Intermediate,Temperate,Very High,Moderate
300,35,150,80,7,0,3,0,6,2,2,1,1,1,0,170.0,114.4,Ovate,Pink,Cool Temperate,Very High,Moderate
35,300,80,80,0,5,0,1,2,2,1,2,1,4,0,182.3,88.1,Intermediate,White,Temperate,Very High,High
